English,target
determines how transparency should be indicated .   valid values are check pattern    color and none .   if color is choosen    then the trans color key determines the used color value .   ,تعیین میکند شفافیت چطور مشخص شود . مقادیر معتبر عبارتاند ازcheckpattern ، colorو none . اگر color انتخاب شود ، کلیدtranscolor مقدار رنگ مورد استفاده را تعیین میکند .
navigation ,ناوش
if you close the window    pending print jobs will not be printed .   ,اگر پنجره را ببندید ، کارهای در انتظارچاپ ، چاپ نخواهند شد .
port  :    ,درگاه :
whether or not to animate card moves .   ,این که از حرکت های سریع استفاده شود یا نه .
place the jack of hearts next to the ten of hearts .   ,انتقال a بر روی ده دل .
brasero   new image file ,برازرو پرونده تصویر جدید
 trust this security information from now on ,از این به بعد به این اطلاعات امنیتی اعتمادشود
postscript is not supported by this printer .   ,postscript توسط این چاپگر پشتیبانی نمیشود .
ungrouped ,گروهبندی لغو شد
edit the video information  (  start    end    author    etc .   )   ,ویرایش اطلاعات ویدیو ( شروع ، پایان ، نویسنده ، غیره )
 allow postponing of breaks ,امکان به تعویق انداختن استراحت ها
couldn  '   t create temporary file for saving  :     ,ایجاد پرونده موقت برای ذخیرهسازی ممکن نیست :
adjust contrast ,تنظیم کنتراست
integer parameters ,پارامترهای عدد صحیح
 zoom in ,زوم به داخل
6th ,ششم
save image    ,ذخیره تصویر « »
" ""   ""   is not suitable for audio or video media ",نام « » برای یک رسانهویدیو یا صوت مناسب نیست
file system type ,نوع سیستم پرونده
anyone ,هرکسی
yesterday   :     ,دیروز : timewed 12 : 34 am
"trust new certificate authority  ""   ""   to identify web sites ?   ",برای تعیین هویت وبگاه ها به صلاحیت گواهی جدید « » اعتماد شود ؟
there are no videos to write to disc ,هیچ ویدیویی برای نوشتن در دیسک وجود ندارد
side  pane ,قاب کناری
smooth images when zoomed  in ,هموار کردن تصویرها هنگام بزرگنمایی
local user cleared the call ,کاربر محلی تماس را پاک کرد
 scores .   .   .   ,امتیازات
user defined  (   )   ,تعریف شده توسط کاربر ( )
unknown ,نامعلوم
create an svcd ,ساخت یک svcd
burning dvd ,درحالسوزاندن دیویدی
new contact ,ا شنای جدید
" ""   ""   did not behave properly ",افزونه « » به درستی رفتار نکرد
open image    ,باز کردن تصویر « »
connect to untrusted site ?   ,اتصال به پایگاهنامطمین ؟
epiphany ,epiphany ( rdf )
name ,
new window ,پنجره جدید
s end link by email ,فرستادن پیوند با نامه الکترونیکی
nickname ,لقب
invite  participant ,دعوت شرکتکننده
open the bookmarks in this topic in new tabs ,باز کردن چوبالف های این موضوع در یک زبانه های جدید
run document as a presentation ,اجرای نوشتار به صورت ارایه مطلب
 user name  :    ,نام کاربر :
reload image ,بازخوانی تصویر
icq  uin  :    ,icquin :
could not create a temporary directory in    .   ,ایجاد شاخهی موقت در « » شکستخورد .
cannot load document in offline mode .   ,نمیتوان نوشتار را در حالت منفصل بار کرد .
personal information ,اطلاعات شخصی
translator credits ,ارش موسوی مهیار مقیمی
one button dynamic mode ,حالت پویای تک کلیدی
other error ,خطای ورودی خروجی
 on foundation ,خالی کردن خانه درپایهreserveslothint
you cannot rename a folder in a news store .   ,نمیتوان نام پوشه ای را در یکnewsstore تغییر دهید .
issued on  :    ,زمان صدور :
record a video using a webcam ,ضبط یک ویدیو از طریق وبکم
remove the three of spades .   ,حذف ده پیک .
transformation on unloaded image .   ,تبدیل بر روی تصویر بار نشده .
the account associated with the email address provided has been disabled .   ,حساب مرتبط با نشانی پست الکترونیکی داده شده از کار انداخته میشود .
serbian latin ,لاتین صربستانی
pick up and drop cards by clicking ,با کلیک کردن کارت ها را بکشید و بردارید
try rearranging the cards ,بازاراییکارت ها را امتحان کنید .
" ""   ""   expects two arguments ",« » دو ارگومان انتظار دارد
could not load   :     ,بار کردن ممکن نبود :
close the history window ,بستن پنجرهی تاریخچه
the name of the string to be found ,نام رشته ای که باید پیدا شود
message sent ,پیام فرستادهشده
go back ,عقب رفتن
rename from  :    ,تغییر نام از :
no disc available ,هیچدیسکی موجود نیست
factor by which to zoom in ,ضریبی که به اندازهانبزرگنماییشود
cyrillic russian ,سیریلیک روسی
only  from sites you visit ,فقط از پایگاه هاییکه دیده ایدonlyfromsitesyouvisit
chinese simplified  (  g b2312 )   ,چینی ساده شده ( gb2312 )
"unable to open file  ""   ""   for reading ",ناتوان در باز کردن پروندهی راهنما
blank disc  (   )   ,دیسک خالی ( )
unable to connect to pop server  .   error sending password  :    ,اتصال به کارگزار pop امکانپذیر نیست . خطا در ارسال گذرواژه : :
fishing wire makes bad dental floss ,بخوری زمین هوا میری
burning disc ,درحالسوزاندن دیسک
 block user ,مسدود کردن کاربر
exposure time  :    ,زمان نوردهی :
firebird ,فایربرد
appearance options ,گزینه های نما :
toolbar editor ,نوار ابزار
keywords  :    ,گزینه ها
 port ,درگاه
important ,مهم
place the two of diamonds next to the ace of diamonds .   ,قراردادن دو خشت در کنار اس خشت .
send email to address   '     '    ,ارسال نامهی الکترونیکی به نشانی « »
appearance ,ظاهر
move to trash ,انداختن در زباله دان
merging data is impossible with this disc ,ادغام اطلاعات در این دیسک ممکن نیست
delete and  block ,حذف و مسدود کن
call took     ended at  ,تماس در گرفته شد ، در پایان یافت
redial ,تماس دوباره
 download ,"بارگیریfriendlytime "" stringforthecurrentday ، strftimeformat . like "" today 12 : 34 am"
lag before user actually pushes button  (  ms )   ,تاخیر قبل از اینکه کاربر دکمه را فشاردهد ( میلیثانیه )
